Date, Price
Nov 25, 2016:19.84
Oct 07, 2013;18.59
Oct 04, 2013;18.48
Oct 03, 2013;18.52
Oct 02, 2013;18.51
Oct 01, 2013;18.32
Sep 30, 2013;17.48
Sep 27, 2013;16.87
Sep 26, 2013;17.51
Sep 25, 2013;17.62
Sep 24, 2013;17.42
Sep 23, 2013;17.25
Sep 20, 2013;17.18
Sep 19, 2013;17.17
Sep 18, 2013;16.89
Sep 17, 2013;16.79
Sep 16, 2013;16.94
Sep 13, 2013;17.09
Sep 12, 2013;17.18
Sep 11, 2013;17.17
Sep 10, 2013;17.18
Sep 09, 2013;17.01
Sep 06, 2013;16.79
Sep 05, 2013;16.51
Sep 04, 2013;16.38
Sep 03, 2013;16.47
Aug 30, 2013;16.34
Aug 29, 2013;16.37
Aug 28, 2013;16.44
Aug 27, 2013;16.46
Aug 26, 2013;16.61
Aug 23, 2013;16.47
Aug 22, 2013;16.28
Aug 21, 2013;16.32
Aug 20, 2013;16.47
Aug 19, 2013;16.53
Aug 16, 2013;16.94
Aug 15, 2013;17.19
Aug 14, 2013;17.25
Aug 13, 2013;17.25
Aug 12, 2013;17.16
Aug 09, 2013;16.98
Aug 08, 2013;16.82
Aug 07, 2013;16.78
Aug 06, 2013;16.55
Aug 05, 2013;16.56
Aug 02, 2013;16.79
Aug 01, 2013;16.83
Jul 31, 2013;16.97
Jul 30, 2013;16.93
Jul 29, 2013;16.92
Jul 26, 2013;16.47
Jul 25, 2013;16.39
Jul 24, 2013;16.14
Jul 23, 2013;16.34
Jul 22, 2013;16.40
Jul 19, 2013;16.29
Jul 18, 2013;16.18
Jul 17, 2013;16.08
Jul 16, 2013;16.00
Jul 15, 2013;16.16
Jul 12, 2013;16.06
Jul 11, 2013;16.10
Jul 10, 2013;16.25
Jul 09, 2013;16.34
Jul 08, 2013;16.33
Jul 05, 2013;16.26
Jul 04, 2013;16.42
Jul 03, 2013;16.42
Jul 02, 2013;16.53
Jul 01, 2013;16.69
Jun 28, 2013;16.38
Jun 27, 2013;16.47
Jun 26, 2013;17.01
Jun 25, 2013;17.07
Jun 24, 2013;17.01
Jun 21, 2013;16.74
Jun 20, 2013;16.38
Jun 19, 2013;16.97
Jun 18, 2013;16.76
Jun 17, 2013;16.93
Jun 14, 2013;16.78
Jun 13, 2013;16.24
Jun 12, 2013;16.21
Jun 11, 2013;16.29
Jun 10, 2013;16.38
Jun 07, 2013;16.43
Jun 06, 2013;16.48
Jun 05, 2013;16.38
Jun 04, 2013;16.38
Jun 03, 2013;16.43
May 31, 2013;16.55
May 30, 2013;16.65
May 29, 2013;16.67
May 28, 2013;16.72
May 24, 2013;16.84
May 23, 2013;16.76
May 22, 2013;16.65
May 21, 2013;16.86
May 20, 2013;16.81
May 17, 2013;16.89
May 16, 2013;16.83
May 15, 2013;16.95
May 14, 2013;17.02
May 13, 2013;17.25
May 10, 2013;17.43
May 09, 2013;17.47
May 08, 2013;17.47
May 07, 2013;17.64
May 06, 2013;17.81
May 03, 2013;17.53
May 02, 2013;17.60
May 01, 2013;17.33
Apr 30, 2013;17.67
Apr 29, 2013;17.49
Apr 26, 2013;17.36
Apr 25, 2013;17.41
Apr 24, 2013;17.40
Apr 23, 2013;17.74
Apr 22, 2013;17.87
Apr 19, 2013;17.97
Apr 18, 2013;17.69
Apr 17, 2013;17.85
Apr 16, 2013;18.01
Apr 15, 2013;17.79
Apr 12, 2013;18.03
Apr 11, 2013;17.84
Apr 10, 2013;17.90
Apr 09, 2013;17.72
Apr 08, 2013;17.70
Apr 05, 2013;17.65
Apr 04, 2013;17.67
Apr 03, 2013;17.50
Apr 02, 2013;17.59
Apr 01, 2013;17.69
Mar 28, 2013;17.66
Mar 27, 2013;17.85
Mar 26, 2013;17.78
Mar 25, 2013;17.97
Mar 22, 2013;18.20
Mar 21, 2013;18.21
Mar 20, 2013;18.35
Mar 19, 2013;18.31
Mar 18, 2013;18.29
Mar 15, 2013;18.89
Mar 14, 2013;18.84
Mar 13, 2013;18.80
Mar 12, 2013;18.82
Mar 11, 2013;18.82
Mar 08, 2013;18.75
Mar 07, 2013;18.77
Mar 06, 2013;18.20
Mar 05, 2013;18.19
Mar 04, 2013;18.08
Mar 01, 2013;17.91
Feb 28, 2013;18.38
Feb 27, 2013;17.84
Feb 26, 2013;17.79
Feb 25, 2013;18.01
Feb 22, 2013;18.24
Feb 21, 2013;18.12
Feb 20, 2013;18.35
Feb 19, 2013;18.22
Feb 15, 2013;18.00
Feb 14, 2013;17.94
Feb 13, 2013;18.23
Feb 12, 2013;18.08
Feb 11, 2013;18.44
Feb 08, 2013;18.14
Feb 07, 2013;18.16
Feb 06, 2013;18.19
Feb 05, 2013;18.56
Feb 04, 2013;18.73
Feb 01, 2013;18.89
Jan 31, 2013;18.78
Jan 30, 2013;18.71
Jan 29, 2013;18.38
Jan 28, 2013;18.73
Jan 25, 2013;18.38
Jan 24, 2013;18.49
Jan 23, 2013;18.50
Jan 22, 2013;18.12
Jan 20, 2013;18.45
Jan 18, 2013;18.37
Jan 17, 2013;18.42
Jan 16, 2013;18.45
Jan 15, 2013;18.62
Jan 14, 2013;18.90
Jan 11, 2013;19.17
Jan 10, 2013;18.96
Jan 09, 2013;18.72
Jan 08, 2013;18.67
Jan 07, 2013;18.86
Jan 04, 2013;18.85
Jan 03, 2013;19.10
Jan 02, 2013;19.69
Dec 31, 2012;19.51
Dec 28, 2012;19.42
Dec 27, 2012;19.45
Dec 26, 2012;19.05
