Date, Index
Dec 06, 2013;80.31
Dec 05, 2013;80.24
Dec 04, 2013;80.63
Dec 03, 2013;80.62
Dec 02, 2013;80.94
Nov 29, 2013;80.66
Nov 28, 2013;80.75
Nov 27, 2013;80.75
Nov 26, 2013;80.64
Nov 25, 2013;80.96
Nov 22, 2013;80.74
Nov 21, 2013;81.12
Nov 20, 2013;81.17
Nov 19, 2013;80.74
Nov 18, 2013;80.83
Nov 15, 2013;80.90
Nov 14, 2013;81.09
Nov 13, 2013;80.98
Nov 12, 2013;81.25
Nov 11, 2013;81.20
Nov 08, 2013;81.39
Nov 07, 2013;80.85
Nov 06, 2013;80.56
Nov 05, 2013;80.79
Nov 04, 2013;80.64
Nov 01, 2013;80.81
Oct 31, 2013;80.26
Oct 30, 2013;79.84
Oct 29, 2013;79.67
Oct 28, 2013;79.31
Oct 25, 2013;79.25
Oct 24, 2013;79.25
Oct 23, 2013;79.33
Oct 22, 2013;79.29
Oct 21, 2013;79.75
Oct 18, 2013;79.73
Oct 17, 2013;79.72
Oct 16, 2013;80.56
Oct 15, 2013;80.56
Oct 14, 2013;80.31
Oct 11, 2013;80.45
Oct 10, 2013;80.52
Oct 09, 2013;80.47
Oct 08, 2013;80.13
Oct 07, 2013;80.03
Oct 04, 2013;80.22
Oct 03, 2013;79.85
Oct 02, 2013;79.99
Oct 01, 2013;80.25
Sep 30, 2013;80.32
Sep 27, 2013;80.38
Sep 26, 2013;80.64
Sep 25, 2013;80.44
Sep 24, 2013;80.69
Sep 23, 2013;80.57
Sep 20, 2013;80.55
Sep 19, 2013;80.48
Sep 18, 2013;80.37
Sep 17, 2013;81.30
Sep 16, 2013;81.07
Sep 13, 2013;81.45
Sep 12, 2013;81.49
Sep 11, 2013;81.52
Sep 10, 2013;81.82
Sep 09, 2013;81.80
Sep 06, 2013;82.17
Sep 05, 2013;82.67
Sep 04, 2013;82.20
Sep 03, 2013;82.40
Sep 02, 2013;82.14
Aug 30, 2013;82.14
Aug 29, 2013;82.00
Aug 28, 2013;81.47
Aug 27, 2013;81.20
Aug 26, 2013;81.44
Aug 23, 2013;81.39
Aug 22, 2013;81.53
Aug 21, 2013;81.22
Aug 20, 2013;80.93
Aug 19, 2013;81.26
Aug 16, 2013;81.29
Aug 15, 2013;81.21
Aug 14, 2013;81.76
Aug 13, 2013;81.81
Aug 12, 2013;81.37
Aug 09, 2013;81.17
Aug 08, 2013;81.03
Aug 07, 2013;81.32
Aug 06, 2013;81.66
Aug 05, 2013;81.94
Aug 02, 2013;81.98
Aug 01, 2013;82.43
Jul 31, 2013;81.54
Jul 30, 2013;81.92
Jul 29, 2013;81.76
Jul 26, 2013;81.76
Jul 25, 2013;82.05
Jul 24, 2013;82.40
Jul 23, 2013;82.04
Jul 22, 2013;82.32
Jul 19, 2013;82.71
Jul 18, 2013;82.95
Jul 17, 2013;82.84
Jul 16, 2013;82.64
Jul 15, 2013;83.20
Jul 12, 2013;83.16
Jul 11, 2013;82.92
Jul 10, 2013;84.23
Jul 09, 2013;84.78
Jul 08, 2013;84.41
Jul 05, 2013;84.69
Jul 04, 2013;83.45
Jul 03, 2013;83.45
Jul 02, 2013;83.76
Jul 01, 2013;83.25
Jun 28, 2013;83.38
Jun 27, 2013;83.15
Jun 26, 2013;83.23
Jun 25, 2013;82.80
Jun 24, 2013;82.63
Jun 21, 2013;82.52
Jun 20, 2013;82.10
Jun 19, 2013;81.59
Jun 18, 2013;80.75
Jun 17, 2013;80.73
Jun 14, 2013;80.65
Jun 13, 2013;80.74
Jun 12, 2013;80.95
Jun 11, 2013;81.11
Jun 10, 2013;81.65
Jun 07, 2013;81.66
Jun 06, 2013;81.54
Jun 05, 2013;82.61
Jun 04, 2013;82.80
Jun 03, 2013;82.69
May 31, 2013;83.40
May 30, 2013;83.07
May 29, 2013;83.70
May 28, 2013;84.17
May 27, 2013;83.76
May 24, 2013;83.76
May 23, 2013;83.80
May 22, 2013;84.46
May 21, 2013;83.95
May 20, 2013;83.84
May 17, 2013;84.39
May 16, 2013;83.72
May 15, 2013;83.96
May 14, 2013;83.71
May 13, 2013;83.36
May 10, 2013;83.23
May 09, 2013;82.88
May 08, 2013;81.95
May 07, 2013;82.33
May 06, 2013;82.38
May 03, 2013;82.19
May 02, 2013;82.28
May 01, 2013;81.52
Apr 30, 2013;81.81
Apr 29, 2013;82.20
Apr 26, 2013;82.57
Apr 25, 2013;82.84
Apr 24, 2013;83.03
Apr 23, 2013;83.19
Apr 22, 2013;82.82
